handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_fe92677b-8825-3924-f079-f259d9f90e2d,Variant,,,,,,,,,true,,,3,,,,,Wrapped in Grace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_fe92677b-8825-3924-f079-f259d9f90e2d,Variant,,,,,,,,,true,,,3,,,,,Praise and Glow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_fe92677b-8825-3924-f079-f259d9f90e2d,Variant,,,,,,,,,true,,,3,,,,,Bold by Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_fe92677b-8825-3924-f079-f259d9f90e2d,Variant,,,,,,,,,true,,,2,,,,,Chosen and Covered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_fe92677b-8825-3924-f079-f259d9f90e2d,Variant,,,,,,,,,true,,,2,,,,,Covered While You Rest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6a3804df-f221-4c7e-e6c6-c47041d98610,Product,Favoured Jamaican Handmade Natural Body Butter,"<p>Velvet‑soft care, made right here for Jamaica’s sun‑kissed skin. Favoured is a rich, Jamaican handmade natural body butter built to end dry‑skin days, without the greasy film. It blends kokum and shea butters with nurturing sunflower oil, plus Vitamin B5, so skin feels quenched, smooth, and strengthened from the first touch.</p><p>&nbsp;</p><p>Kokum butter is prized for its deep moisturizing power while staying light and non‑pore‑clogging, so it comforts dry, tight skin without leaving you heavy or shiny.</p><p>&nbsp;</p><p>Sunflower oil adds barrier support and antioxidant protection, helping skin hold on to moisture and feel calmer, not stressed.</p><p>&nbsp;</p><p>Use Favoured after a bath or before bed, and let the nourishing blend sink in. It’s more than a lotion, it’s a small, daily reminder that your skin is cherished, cared for, and yes, favoured.</p>",666008_f4962b51bf2d43748bdcef848bac34f5~mv2.png;666008_c17ef514e77840f0b337d0d2d9400c28~mv2.png,Natural Body Care,,New,1500.0,,true,PERCENT,0.0,0,,,Size,DROP_DOWN,4oz;8.5oz,,,,,,,,,,,,,,,,BENEFITS,"<ul> 
 <li><strong>Deep Hydration</strong>:</li> 
 <li><strong>Skin Repair and Protection</strong>:&nbsp;</li> 
 <li><strong>Emulsified Formula</strong>:&nbsp;</li> 
 <li><strong>Natural and Handmade</strong>:&nbsp;</li> 
</ul>",INGREDIENTS,"<p>Ingredients: Aqua (Water), Garcinia Indica (Kokum) Seed Butter, Butyrospermum Parkii (Shea) Butter, Emulsifying Wax NF, Helianthus Annuus Seed Oil, Cetyl Alcohol, Glycerine, Fragrance, Tocopherol, Panthenol, Benzyl Alcohol (and) Benzoic Acid (and) Dehydroacetic Acid (and) Tocopherol,&nbsp;Mica, Titanium Dioxide, Iron Oxide.</p>
",INSTRUCTIONS,<p>Apply a generous scoop of body butter directly to your skin and gently massage using firm broad strokes until absorbed.</p>,RETURN,"<p>Returns accepted up to seven days after receipt. Items must be unopened, unused and in original packaging.</p>",,,,,,,,,,,Foryou Skin Bar
product_6a3804df-f221-4c7e-e6c6-c47041d98610,Variant,,,,,,,,1200.0,true,,,0,0.27,1883.81,,,8.5oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6a3804df-f221-4c7e-e6c6-c47041d98610,Variant,,,,,,,,,true,,,3,0.14,886.5,,,4oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6ebaea64-869c-030c-0b7a-492b3f9f0689,Product,Facial Sponge for Mild Exfoliation,"<p>Facial Sponge for Exfoliation – Deep Clean, Smooth Finish</p><p>&nbsp;</p><p>Your glow starts with a clean, fresh canvas. The Facial Sponge for Exfoliation is the perfect addition to your skincare routine. Designed to gently buff away dirt, oil, and buildup without irritating your skin.</p><p>&nbsp;</p><p>Gently Exfoliates &amp; Smooths: Removes dead skin cells and unclogs pores to reveal smoother, softer, more radiant skin.</p><p>&nbsp;</p><p>Boosts Product Absorption: Helps your cleansers, serums, and moisturizers work better by allowing active ingredients to penetrate more effectively.</p><p>&nbsp;</p><p>Perfect for Daily Use: Soft enough for sensitive skin yet effective enough for oily or acne-prone types — leaving your skin balanced, fresh, and clean.</p><p>&nbsp;</p><p>Eco-Friendly &amp; Reusable: Durable, plant-based material that’s gentle on your skin and the environment.</p><p>&nbsp;</p><p>Made, With Purpose: Crafted to support women who want real results and a natural glow — one gentle cleanse at a time.</p><p>&nbsp;</p><p>Add the Facial Sponge for Exfoliation to your routine and experience a smoother, clearer, more radiant complexion every day.</p>",666008_eb38160d15754743abcffbd38fda9576~mv2.png;666008_67198c4c199b49aba2119f179ab3e52d~mv2.jpg;666008_01cfa71df72a45ca83e4753286312fae,Natural Skincare Accessories & Tools,,,200.0,,true,PERCENT,0.0,InStock,,,Bundles,DROP_DOWN,1;3;6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foryou Skin Bar
product_6ebaea64-869c-030c-0b7a-492b3f9f0689,Variant,,,,,,,,800.0,true,,,InStock,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6ebaea64-869c-030c-0b7a-492b3f9f0689,Variant,,,,,,,,300.0,true,,,InStock,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6ebaea64-869c-030c-0b7a-492b3f9f0689,Variant,,,,,,,,,true,,,InStock,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_67efa610-aadf-d5a5-a510-7ab4de11de51,Product,Soap Saver Mesh Bag,"<p>Upgrade your skincare routine with our Soap Saver Mesh Bag, a natural exfoliating pouch made from eco-friendly sisal fiber.</p><p>&nbsp;</p><p>Perfectly sized at 5.3 x 3.7 inches, this breathable bag helps extend the life of your handmade soaps while providing gentle exfoliation to remove dead skin and unclog pores. Ideal for women dealing with<strong> </strong>acne, dark spots, and hyperpigmentation, it turns every cleanse into a refreshing skin-loving ritual.</p><p>&nbsp;</p><p>Simply place your favorite Foryou Skin Bar soap inside, lather under water, and massage directly onto the skin. Hang dry with the built-in drawstring to keep your soap clean and lasting longer.</p><p>&nbsp;</p><p>Perfect companion for our handmade soaps. Because your skin deserves care that goes beyond the surface.</p>",666008_5812847e932a41ecb102062018df8a35~mv2.png;666008_3df801e6bcb74b82ab220e39cbeaba7f~mv2.jpg;666008_7cb26ec9590f4d0997050a9e94b015a1~mv2.jpg,Natural Skincare Accessories & Tools,,,350.0,,true,PERCENT,0.0,6,,117.48,,,,,,,,,,,,,,,,,,,BENEFITS,"<p>Key Benefits:</p>

<ul>
	<li>
	<p>Gently exfoliates to support clearer, smoother skin</p>
	</li>
	<li>
	<p>Boosts lather while minimizing soap waste</p>
	</li>
	<li>
	<p>Naturally derived and biodegradable</p>
	</li>
	<li>
	<p>Convenient for travel or daily use</p>
	</li>
</ul>
",INGREDIENTS,"<p>Sisal material</p>
",INSTRUCTIONS,"<p>Place soap inside the bag, lather under water and use to wash the skin. Hang dry with draw string.</p>
",RETURN POLICY,"<p>We accept returns up to seven days after receipt. Item should be unopened, unused and in original packaging. The purchase receipt is required to facilitate the return.</p>
",,,,,,,,,,,Foryou Skin Bar
product_aee69dec-50b7-ae2f-68dc-f352933f56ef,Product,Goddess Relief Feminine Oil,"<p>Soothing Intimate Care for the Wise Woman Within.</p><p>&nbsp;</p><p>Ease discomfort and reclaim your feminine balance with Goddess Relief—a gentle, plant-powered oil crafted for women navigating the changes of perimenopause. Made with Jamaican Coconut Oil, Neem Oil, and calming Lavender Essential Oil, this soothing blend moisturizes dry, irritated skin, relieves intimate itching, and supports a healthy pH.</p><p>&nbsp;</p><p>Whether you're facing dryness, sensitivity, or just need a moment of self-care, Goddess Relief offers natural comfort with every drop. Free from synthetic fragrances and harsh chemicals, it’s safe for daily use and designed with your evolving body in mind.</p><p>&nbsp;</p><p>Hydrates, soothes, and refreshes<br>Supports skin balance and feminine wellness</p><p>Perfect for perimenopausal dryness and irritation</p><p>&nbsp;</p><p>Feel like yourself again—soft, calm, and confident.</p><p>&nbsp;</p>",666008_930bfbf2f30644b29fe558c1677a9d94~mv2.png;666008_65e3b661657f4f35aef2ded66a3b2b88~mv2.jpg,Natural Feminine Wellness & Intimate Care,FSB7222181,New,1500.0,,true,PERCENT,0.0,6,,525.31,,,,,,,,,,,,,,,,,,,BENEFITS,"<p>Benefits of Our Feminine Relief Oil</p>

<p>1. Soothes Itching &amp; Irritation<br>
Neem oil is rich in antibacterial and antifungal properties that help calm vaginal itching, reduce inflammation, and fight off minor infections naturally.</p>

<p>2. Moisturizes and Nourishes Intimate Skin<br>
Jamaican Coconut Oil deeply hydrates dry, delicate skin—especially helpful during perimenopause when hormonal shifts can cause vaginal dryness.</p>

<p>3. Supports pH Balance &amp; Skin Barrier Health<br>
Coconut oil also helps protect the skin’s natural barrier, supporting a healthy pH environment and preventing discomfort caused by imbalance.</p>

<p>4. Calms and Relaxes the Body &amp; Mind<br>
Lavender Essential Oil brings calming aromatherapy benefits while soothing inflamed skin and reducing stress-related irritation.</p>

<p>5. Gentle Yet Powerful Plant-Based Relief<br>
This oil blend is free from synthetic additives, making it safe for daily use and gentle enough for the most sensitive areas of your body.</p>

<p>6. Fights Odour and Supports Freshness<br>
The antibacterial nature of neem and coconut oil helps eliminate odour-causing bacteria, keeping you feeling fresh and confident all day.</p>
",INGREDIENTS,"<p>Coconut Oil, Lavender Essential Oil, Neem Oil</p>
",INSTRUCTIONS,"<p>Apply 2 - 3 drops to desired area, massage until absorbed. Use up to 3 times daily.</p>
",RETURN POLICY,"<p>We accept returrns up to 7 days after receipt. Items must be unopened, unused and in original packaging. Original receipt must be provided to facilitate returns.</p>
",,,,,,,,,,,Foryou Skin Bar
product_ec4d2811-d3f2-1b11-c304-95f35f95f95f,Product,Root Theory Beard Balm,"<p>Settle your beard. Strengthen your roots.</p><p>&nbsp;</p><p>Crafted for the modern man who values natural care Root Theory Beard Balm delivers deep hydration, shape and subtle hold without the stiffness. A rich blend of Kokum and Shea butter tames unruly strands, while coconut, sunflower and jojoba oils nourish both beard and skin. Infused with calming lavender and invigorating roesmary essential oil, it offers a fresh, earthy scent that lingers without overpowering.</p><p>&nbsp;</p><p>Plant-based candelilla wax gives your beard gentle structure, making this balm ideal for daily use, from first growth to full-grown glory.</p><p>&nbsp;</p><p>Vegan friendly. Cruelty-free. No silicones or parabens. Just nature, rooted.</p>",,Natural Men's Grooming & Beard Care,,,1500.0,,false,PERCENT,0.0,0,,,Size,DROP_DOWN,2oz;4oz,,,,,,,,,,,,,,,,BENEFITS,"<p>Our balm offers the following benefits for your beard:</p> 
<p><strong>Deep moisturisation</strong> - keeps both beard and skin hydrated, preventing dryness and flakiness.</p> 
<p><strong>Softens and conditions</strong> - makes beard hair softer, smoother and easier to manage.</p> 
<p><strong>Reduces itch and irritation</strong>&nbsp;- soothes the skin underneath, especially during beard growth.</p> 
<p><strong>Promotes healthy growth </strong>- supports stronger, healthier beard growth over time.</p> 
<p><strong>Tames and styles</strong> - helps control frizz and shape the beard without stiffness.</p> 
<p><strong>Soothes ad calms skin</strong> - offers a calming effect, reducing redness or sensitivity.</p> 
<p><strong>Adds natural shine</strong> - enhances the beard's appearance with a healthy non greasy glow.</p> 
<p><strong>Protects from environmental stressors</strong> - shields hair and skin fro harsh elements like wind and pollution.</p> 
<p><strong>Pleasant aroma</strong> - provides a clean, herbal scent that's subtle yet refreshing.</p>",INGREDIENTS,"<p>Kokum Butter, Shea Butter, Coconut Oil, Sunflower Oil, jojoba Oil, Candelilla Wax, Rosemary Oil, Lavender OIl, Optiphen Plus.</p>",INSTRUCTIONS,<p>Apply a small&nbsp;amount to palm and gently apply to beard in an outward motion. Comb through to distribute evenly.</p>,REFUND POLICY,"<p>Returns accepted within 7 days of receipt. Item must be unused, unopened and in original packaging.</p>",,,,,,,,,,,Foryou Skin Bar
product_ec4d2811-d3f2-1b11-c304-95f35f95f95f,Variant,,,,,,,,,true,,,2,,,,,2oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ec4d2811-d3f2-1b11-c304-95f35f95f95f,Variant,,,,,,,,1300.0,true,,,4,,,,,4oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
